fixture_id,team_id,action,count,team_scrummy_id
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Lineout Won,5,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Maul Formed,4,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Maul Incomplete,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Maul Won,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Option: Kick,7,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Option: Kick At Goal,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Option: Scrum,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Option: Tap And Go,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Penalty For Dangerous Tackle,3,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Penalty For Not Releasign Player,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Penalty For Not Releasing Ball,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Penalty For Offside,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Penalty For Scrum,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Penalty Kick Scored,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Scrum,6,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Scrum Won,6,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Try,4,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Turn Over,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Yellow Card,0,d9465fd5-2419-4973-932a-0d13642a41a6
