fixture_id,event_name,team_id,team_scrummy_id,event_timestamp,x_position,y_position
0f0e347d-0a02-4efa-94b1-734bb4259152,Knock On,2,d9465fd5-2419-4973-932a-0d13642a41a6,979.5870547294617,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1071.905619859695,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Scrum,2,d9465fd5-2419-4973-932a-0d13642a41a6,1071.907784938812,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,1074.736738920212,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch,2,d9465fd5-2419-4973-932a-0d13642a41a6,1075.463959932327,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,2,d9465fd5-2419-4973-932a-0d13642a41a6,1100.256875038147,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Not Straight,2,d9465fd5-2419-4973-932a-0d13642a41a6,1100.258328914642,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1104.758873939514,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1143.189401865005,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1143.190230846405,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1148.736118793488,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1169.6958527565,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1190.452857971191,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1190.45525598526,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Formed,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1191.565712928772,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Won,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1193.320808887482,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Ball In Touch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1236.808421850204,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,2,d9465fd5-2419-4973-932a-0d13642a41a6,1267.56436085701,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,1267.566947937012,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Not Releasing Ball,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1281.403841018677,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick At Goal,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1303.285916805267,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick At Goal Position,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1329.18049287796,47.57014470469671,28.81032307942708
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty Kick Scored,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1330.326749801636,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick-Off,2,d9465fd5-2419-4973-932a-0d13642a41a6,1378.141101837158,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1381.058356761932,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1382.055901050568,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,2,d9465fd5-2419-4973-932a-0d13642a41a6,1385.375627040863,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Try,2,d9465fd5-2419-4973-932a-0d13642a41a6,1389.421833992004,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick At Goal Position,2,d9465fd5-2419-4973-932a-0d13642a41a6,1467.991278886795,58.55861921639278,25.24137931034482
0f0e347d-0a02-4efa-94b1-734bb4259152,Conversion Missed,2,d9465fd5-2419-4973-932a-0d13642a41a6,1467.993731975555,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick-Off,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1490.31595492363,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick Directly To Touch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1515.491151809692,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Scrum,2,d9465fd5-2419-4973-932a-0d13642a41a6,1522.692723751068,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,2,d9465fd5-2419-4973-932a-0d13642a41a6,1571.91624879837,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,1571.919373989105,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,1576.19878578186,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1579.737581729889,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1582.433456897736,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,2,d9465fd5-2419-4973-932a-0d13642a41a6,1587.823585033417,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Dangerous Tackle,2,d9465fd5-2419-4973-932a-0d13642a41a6,1604.272667884827,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Yellow Card,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1657.280405044556,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,1677.519817829132,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch,2,d9465fd5-2419-4973-932a-0d13642a41a6,1689.604253768921,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,2,d9465fd5-2419-4973-932a-0d13642a41a6,1693.999316930771,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1694.000993728638,,
